experiment_id	material	volume_ratio	abacus_run_id	stru_path	pseudopotential	xc	grid_nx	grid_ny	grid_nz	expected_electrons	atom_count
DFTPY-S1-20260810-015	al	0.90	S1-20260805-071	runs/S1-20260805-071/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-016	al	0.94	S1-20260805-072	runs/S1-20260805-072/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-017	al	0.97	S1-20260805-073	runs/S1-20260805-073/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-018	al	1.00	S1-20260805-074	runs/S1-20260805-074/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-019	al	1.03	S1-20260805-075	runs/S1-20260805-075/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-020	al	1.06	S1-20260805-076	runs/S1-20260805-076/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-021	al	1.10	S1-20260805-077	runs/S1-20260805-077/STRU	assets/pseudo/al.gga.psp	PBE	20	20	20	3.0	1
DFTPY-S1-20260810-022	mg	0.90	S1-20260805-092	runs/S1-20260805-092/STRU	assets/pseudo/mg.lda.lps	LDA	24	24	40	4.0	2
DFTPY-S1-20260810-023	mg	0.94	S1-20260805-093	runs/S1-20260805-093/STRU	assets/pseudo/mg.lda.lps	LDA	24	24	40	4.0	2
DFTPY-S1-20260810-024	mg	0.97	S1-20260805-094	runs/S1-20260805-094/STRU	assets/pseudo/mg.lda.lps	LDA	25	25	40	4.0	2
DFTPY-S1-20260810-025	mg	1.00	S1-20260805-095	runs/S1-20260805-095/STRU	assets/pseudo/mg.lda.lps	LDA	25	25	40	4.0	2
DFTPY-S1-20260810-026	mg	1.03	S1-20260805-096	runs/S1-20260805-096/STRU	assets/pseudo/mg.lda.lps	LDA	25	25	45	4.0	2
DFTPY-S1-20260810-027	mg	1.06	S1-20260805-097	runs/S1-20260805-097/STRU	assets/pseudo/mg.lda.lps	LDA	25	25	45	4.0	2
DFTPY-S1-20260810-028	mg	1.10	S1-20260805-098	runs/S1-20260805-098/STRU	assets/pseudo/mg.lda.lps	LDA	25	25	45	4.0	2
